Championship,Active,Brand (Linked),Category,Current Holder,Defenses,Division,Lineage Notes,Matches,Notes,Rivalries,Title History
NXT Women's Tag Team Championship,No,,Current WWE,,,Tag Team,Introduced in 2021.,,,,
NXT North American Championship,No,,Current WWE,,,Men's Singles,Introduced in 2018. Secondary men's title on NXT.,,,,
WWE Intercontinental Championship,Yes,Raw (https://www.notion.so/Raw-31d341dd49468192b742e2fde956f670?pvs=21),Current WWE,VACANT,,Men's Singles,"One of WWE's oldest titles, introduced 1979. Various belt designs over the decades — all collapsed into this lineage.",,Declared vacant at Hard Reset. Tournament to determine new champion in following weeks.,,
WWE Championship,Yes,Raw (https://www.notion.so/Raw-31d341dd49468192b742e2fde956f670?pvs=21),Current WWE,Cody Rhodes,,Men's Singles,Lineage traces back to WWWF Heavyweight Championship (1963). Unified WWE Championship and Universal Championship in 2023. Current design introduced 2023.,,,,
World Tag Team Championship,No,,Current WWE,VACANT,,Tag Team,Raw-brand tag lineage. Traces back to the original WWF Tag Team titles. Includes Raw Tag Team Championship and World Tag Team Championship variants.,,Declared vacant at Hard Reset. Tournament to determine new champion in following weeks.,,
NXT Women's North American Championship,No,,Current WWE,,,Women's Singles,Introduced in 2023 as women's secondary title on NXT.,,,,
WWE United States Championship,No,,Current WWE,,,Men's Singles,Originated in WCW (1975). Brought to WWE in 2001. Spinner variant (John Cena design) and '03-'20 design all part of this lineage.,,,,
WWE Tag Team Championship,No,,Current WWE,,,Tag Team,"SmackDown-brand tag lineage. Includes SmackDown Tag Team Championship and WWE Tag Team Championship variants ('02-'10, '10-'16).",,,,
NXT Championship,Yes,NXT (https://www.notion.so/NXT-31d341dd49468142aaa9ea8bfc5185bd?pvs=21),Current WWE,Carmelo Hayes,,Men's Singles,"NXT's top title. Includes designs from '12-'17, '17-'21, '22-'24, and current. All collapsed into one lineage.",,,,
Women's United States Championship,No,,Current WWE,,,Women's Singles,New title introduced in 2024. No prior lineage.,,,,
